Type,Item Code,Sales Description,Print as single line (sales),Print as single line (purchasing),Matrix Parent,Barcode,Serial Number,Item is active?,Item is Sold,Item is Purchased,Is Matrix,Commodity code,Amounts as percentage,Unit Price,Sales Units,Foreign Price 1,Foreign Price 1,Foreign Price 2,Foreign Price 2,Pays Commission,Unit Cost,Purchase Units,Foreign Cost 1,Foreign Cost 1,Foreign Cost 2,Foreign Cost 2,On Hand,On Sales Orders (Allocated),Free Stock,Average Cost,On Sales Orders (Not Allocated),Shortfall,On Purchase Orders,Stock Units,1 Purchase Unit =,1 Sales Unit =,Location,Last Stock Take,Units counted,Supplier Part number/Code,Supplier Description,Use on Purchase Documents,Default Order Type,Re-order level,Minimum Order Value,Minimum Order Quantity,Average Lead Time,Category 1,Category 2,Category 3,Category 4,Attribute 1,Attribute 2,Attribute 3,Attribute 4,Attribute 5,Attribute 6,Item Class,Image 1,Image 2,Image 3,Image 4,Item is Drop Shipped,Pack Separately,Weigh Before Shipping,Number of units per box,Shipping Instructions,Dimension Units,Height,Width,Length,Weight Units,Weight,Volume Units,Volume,Dimension Units,Height,Width,Length,Weight Units,Weight,Volume Units,Volume,Revenue/Income,Asset,Expense,Available in Portal Cart,Cart Mapping,Price Impact
Stock Item,22511,"Kaiju & Newstead, 50L Big Kahuna (50L Keg)",,,,,,Y,Y,Y,N,,,395.00,Keg(s),0.00,None,0.00,None,Y,335.00,Keg(s),0.00,None,0.00,None,0,0,0,335,0,0,0,Each,1,1,,,0,,,N,Standard,0,0.00,0,0,Keg(s),None,None,None,None,None,None,None,None,None,None,,,,,N,N,N,,,Cm,52,40,40,Kg,30,,,,,,,,,,,Sales,Stock on Hand,Cost of Goods Sold - Opening Stock,Y,,
Stock Item,230045,"Dainton, Perturbed Parent Porter (12 x 500ml)",,,,,,Y,Y,Y,N,,,98.50,Case(s),0.00,None,0.00,None,Y,80.50,Case(s),0.00,None,0.00,None,23,0,23,80.5,0,0,0,Each,1,1,,,0,,Dainton,N,Standard,0,0.00,0,0,Case(s),None,None,None,None,None,None,None,None,None,None,,,,,N,N,N,,,Cm,25,35,25,Kg,12,,,,,,,,,,,Sales,Stock on Hand,Cost of Goods Sold - Opening Stock,Y,,
Stock Item,235112,"Dainton, 30LThe Perturbed Parent Porter (30L Keg)",,,,,,Y,Y,Y,N,,,330.00,Keg(s),0.00,None,0.00,None,Y,270.00,Keg(s),0.00,None,0.00,None,4,0,4,270,0,0,0,Each,1,1,,,0,,,N,Standard,0,0.00,0,0,Keg(s),None,None,None,None,None,None,None,None,None,None,,,,,N,N,N,,,Cm,52,42,42,Kg,30,,,,,,,,,,,Sales,Stock on Hand,Cost of Goods Sold - Opening Stock,Y,,
Stock Item,100689,"Red Duck, Secret Squirrel  (12 x 500ml)",,,,,,Y,Y,Y,N,,,70.93,Case(s),0.00,None,0.00,None,Y,53.40,Each,0.00,None,0.00,None,0,0,0,53.4,0,0,0,Each,1,1,,,0,,,N,Standard,0,0.00,0,0,Case(s),Supplier = Red Duck,None,None,None,None,None,None,None,None,None,,,,,N,N,N,4,,cm,25,35,25,kg,12,,,,,,,,,,,Sales,Stock on Hand,Cost of Goods Sold - Opening Stock,Y,,
Stock Item,04508,"Croucher, KEG Amarillo (30L Keg)",,,,,,Y,Y,Y,N,,,345.52,Keg(s),0.00,None,0.00,None,Y,0.00,Each,0.00,NZD,0.00,None,1,0,1,0,0,0,0,Each,1,1,,,0,,,N,Standard,0,0.00,0,0,Keg(s),None,None,None,None,None,None,None,None,None,None,,,,,N,N,N,4,,cm,52,41,41,kg,65,,,,,,,,,,,Sales,Stock on Hand,Cost of Goods Sold - Opening Stock,Y,,
Stock Item,06027,"Evil Twin, CANS - Bikini Beer (48 x 355ml cans)",,,,,,Y,Y,Y,N,,,120.20,Case(s),0.00,None,0.00,None,Y,0.00,Each,0.00,None,0.00,None,0,0,0,0,0,0,0,Each,1,1,,,0,,,N,Standard,0,0.00,0,45,Case(s),None,None,None,None,None,None,None,None,None,None,,,,,N,N,N,4,,cm,16,35,25,kg,8,,,,,,,,,,,Sales,Stock on Hand,Cost of Goods Sold - Opening Stock,Y,,
Stock Item,06028,"Evil Twin, Freudian Slip (24 x 355ml)",,,,,,Y,Y,Y,N,,,127.95,Case(s),0.00,None,0.00,None,Y,0.00,Each,0.00,None,0.00,None,1,0,1,0,0,0,0,Each,1,1,,,0,,,N,Standard,0,0.00,0,0,Case(s),None,None,None,None,None,None,None,None,None,None,,,,,N,N,N,4,,cm,25,35,25,kg,12,,,,,,,,,,,Sales,Stock on Hand,Cost of Goods Sold - Opening Stock,Y,,
Stock Item,10070,"Red Duck, Midnight (12 x 500ml)",,,,,,Y,Y,Y,N,,,73.70,Case(s),0.00,None,0.00,None,Y,55.90,Each,0.00,None,0.00,None,31,0,31,55.8999985203599,0,0,0,Each,1,1,,,0,,,N,Standard,0,0.00,0,0,Case(s),Supplier = Red Duck,None,None,None,None,None,None,None,None,None,,,,,N,N,N,4,,cm,25,35,25,kg,12,,,,,,,,,,,Sales,Stock on Hand,Cost of Goods Sold - Opening Stock,Y,,
Stock Item,10533,"Red Duck, KEG Midnight (30L ecokeg)",,,,,,Y,Y,Y,N,,,306.60,Keg(s),0.00,None,0.00,None,Y,246.60,Each,0.00,None,0.00,None,0,0,0,246.6,0,0,0,Each,1,1,,,0,,,N,Standard,0,0.00,0,0,Keg(s),Supplier = Red Duck,None,None,None,None,None,None,None,None,None,,,,,N,N,N,1,,cm,45,40,40,kg,30,,,,,,,,,,,Sales,Stock on Hand,Cost of Goods Sold - Opening Stock,Y,,
Stock Item,10071,"Red Duck, Tiger Mountain (12 x 500ml)",,,,,,Y,Y,Y,N,,,73.70,Case(s),0.00,None,0.00,None,Y,55.90,Each,0.00,None,0.00,None,0,1,-1,55.9,0,1,0,Each,1,1,,,0,,,N,Standard,0,0.00,0,0,Case(s),Supplier = Red Duck,None,None,None,None,None,None,None,None,None,,,,,N,N,N,4,,cm,25,35,25,kg,12,,,,,,,,,,,Sales,Stock on Hand,Cost of Goods Sold - Opening Stock,Y,,
Stock Item,15014,"Stillwater, Debutante (24 x 355ml)",,,,,,Y,Y,Y,N,,,98.71,Case(s),0.00,None,0.00,None,Y,0.00,Each,0.00,None,0.00,None,0,0,0,0,0,0,0,Each,1,1,,,0,,,N,Standard,0,0.00,0,0,Case(s),None,None,None,None,None,None,None,None,None,None,,,,,N,N,N,4,,cm,30,35,30,kg,14,,,,,,,,,,,Sales,Stock on Hand,Cost of Goods Sold - Opening Stock,Y,,
Stock Item,15506,"Stillwater, 20L Existant (20L Keg)",,,,,,Y,Y,Y,N,,,255.72,Keg(s),0.00,None,0.00,None,N,0.00,Each,0.00,None,0.00,None,13,0,13,0,0,0,0,Each,1,1,,,0,,,N,Standard,0,0.00,0,0,Keg(s),None,None,None,None,None,None,None,None,None,None,,,,,N,N,N,4,,,30,35,30,,14,,,,,,,,,,,Sales,Stock on Hand,Cost of Goods Sold - Opening Stock,Y,,
Stock Item,09903,Frog Hops to Amager (Imperial Stout) Amager / Hoppin Frog (12 x 500ml),,,,,,Y,Y,Y,N,,,132.19,Bottle(s),0.00,None,0.00,None,Y,0.00,Each,0.00,None,0.00,None,4,0,4,0,0,0,0,Each,1,1,,,0,,,N,Standard,0,0.00,0,0,Bottle(s),None,None,None,None,None,None,None,None,None,None,,,,,N,N,N,4,,,30,35,30,,14,,,,,,,,,,,Sales,Stock on Hand,Cost of Goods Sold - Opening Stock,Y,,
Stock Item,09904,Amager Barrel Proof (Barley Wine) 12 x 500ml,,,,,,Y,Y,Y,N,,,213.16,Bottle(s),0.00,None,0.00,None,Y,0.00,Each,0.00,None,0.00,None,6,0,6,0,0,0,0,Each,1,1,,,0,,,N,Standard,0,0.00,0,0,Bottle(s),None,None,None,None,None,None,None,None,None,None,,,,,N,N,N,4,,,30,35,30,,14,,,,,,,,,,,Sales,Stock on Hand,Cost of Goods Sold - Opening Stock,Y,,
Stock Item,09905,"Amager, King of Kentucky (12 x 500ml)",,,,,,Y,Y,Y,N,,,213.16,Bottle(s),0.00,None,0.00,None,Y,0.00,Each,0.00,None,0.00,None,4,1,3,0,0,0,0,Each,1,1,,,0,,,N,Standard,0,0.00,0,0,Bottle(s),None,None,None,None,None,None,None,None,None,None,,,,,N,N,N,4,,,30,35,30,,14,,,,,,,,,,,Sales,Stock on Hand,Cost of Goods Sold - Opening Stock,Y,,
Stock Item,09906,"Mikkeller, Aroii (24x330ml) Scharzbier",,,,,,Y,Y,Y,N,,,124.14,case(s),0.00,None,0.00,None,Y,0.00,Each,0.00,None,0.00,None,5,0,5,0,0,0,0,Each,1,1,,,0,,,N,Standard,0,0.00,0,0,Case(s),None,None,None,None,None,None,None,None,None,None,,,,,N,N,N,4,,,30,35,30,,14,,,,,,,,,,,Sales,Stock on Hand,Cost of Goods Sold - Opening Stock,Y,,
Stock Item,09907,"Mikkeller, Beer Weak Brunch Weasel (24x330ml) Stout",,,,,,Y,Y,Y,N,,,123.14,case(s),0.00,None,0.00,None,Y,0.00,Each,0.00,None,0.00,None,0,0,0,0,0,0,0,Each,1,1,,,0,,,N,Standard,0,0.00,0,0,Case(s),None,None,None,None,None,None,None,None,None,None,,,,,N,N,N,4,,,30,35,30,,14,,,,,,,,,,,Sales,Stock on Hand,Cost of Goods Sold - Opening Stock,Y,,
Stock Item,09908,"Mikkeller, Black Inc (6x750ml) Imperial Stout w/ Croked Moon",,,,,,Y,Y,Y,N,,,175.88,case(s),0.00,None,0.00,None,Y,0.00,Each,0.00,None,0.00,None,5,0,5,0,0,0,0,Each,1,1,,,0,,,N,Standard,0,0.00,0,0,Case(s),None,None,None,None,None,None,None,None,None,None,,,,,N,N,N,4,,,30,35,30,,14,,,,,,,,,,,Sales,Stock on Hand,Cost of Goods Sold - Opening Stock,Y,,
Stock Item,09909,"Mikkeller, Book Beer (24x330ml)",,,,,,Y,Y,Y,N,,,124.43,case(s),0.00,None,0.00,None,Y,0.00,Each,0.00,None,0.00,None,0,0,0,0,0,0,0,Each,1,1,,,0,,,N,Standard,0,0.00,0,0,Case(s),None,None,None,None,None,None,None,None,None,None,,,,,N,N,N,4,,,30,35,30,,14,,,,,,,,,,,Sales,Stock on Hand,Cost of Goods Sold - Opening Stock,Y,,
Stock Item,09910,"Mikkeller, B.A Bourbon Brunch (24x330ml) Barrel Aged Imperial Stout",,,,,,Y,Y,Y,N,,,390.92,case(s),0.00,None,0.00,None,Y,0.00,Each,0.00,None,0.00,None,0,0,0,0,0,0,0,Each,1,1,,,0,,,N,Standard,0,0.00,0,0,Case(s),None,None,None,None,None,None,None,None,None,None,,,,,N,N,N,4,,,30,35,30,,14,,,,,,,,,,,Sales,Stock on Hand,Cost of Goods Sold - Opening Stock,Y,,
Stock Item,09911,"Mikkeller, French Oak Series: Mixed cases (12x375ml) Barrel Aged Barley Wine",,,,,,Y,Y,Y,N,,,236.31,case(s),0.00,None,0.00,None,Y,0.00,Each,0.00,None,0.00,None,6,0,6,0,0,0,0,Each,1,1,,,0,,,N,Standard,0,0.00,0,0,Case(s),None,None,None,None,None,None,None,None,None,None,,,,,N,N,N,4,,,30,35,30,,14,,,,,,,,,,,Sales,Stock on Hand,Cost of Goods Sold - Opening Stock,Y,,
Stock Item,09912,"Mikkeller, Funky E-Star Belgian Wild Ale (24x330ml)",,,,,,Y,Y,Y,N,,,154.08,case(s),0.00,None,0.00,None,Y,0.00,Each,0.00,None,0.00,None,0,0,0,0,0,0,0,Each,1,1,,,0,,,N,Standard,0,0.00,0,0,Case(s),None,None,None,None,None,None,None,None,None,None,,,,,N,N,N,4,,,30,35,30,,14,,,,,,,,,,,Sales,Stock on Hand,Cost of Goods Sold - Opening Stock,Y,,
Stock Item,09913,"Mikkeller, B.A George vs Brian Tequila (24x330ml) Barrel Aged Imperial Stout",,,,,,Y,Y,Y,N,,,411.42,case(s),0.00,None,0.00,None,Y,0.00,Each,0.00,None,0.00,None,0,0,0,0,0,0,0,Each,1,1,,,0,,,N,Standard,0,0.00,0,0,Case(s),None,None,None,None,None,None,None,None,None,None,,,,,N,N,N,4,,,30,35,30,,14,,,,,,,,,,,Sales,Stock on Hand,Cost of Goods Sold - Opening Stock,Y,,
Stock Item,09914,"Mikkeller, We Brew Gold (24x330ml) Imperial IPA w/ Naparbier",,,,,,Y,Y,Y,N,,,335.79,case(s),0.00,None,0.00,None,Y,0.00,Each,0.00,None,0.00,None,8,0,8,0,0,0,0,Each,1,1,,,0,,,N,Standard,0,0.00,0,0,Case(s),None,None,None,None,None,None,None,None,None,None,,,,,N,N,N,4,,,30,35,30,,14,,,,,,,,,,,Sales,Stock on Hand,Cost of Goods Sold - Opening Stock,Y,,
Stock Item,09915,"Mikkeller, Green Gold Gluten Free IPA (24x330ml)",,,,,,Y,Y,Y,N,,,142.13,case(s),0.00,None,0.00,None,Y,0.00,Each,0.00,None,0.00,None,0,0,0,0,0,0,0,Each,1,1,,,0,,,N,Standard,0,0.00,0,0,Case(s),None,None,None,None,None,None,None,None,None,None,,,,,N,N,N,4,,,30,35,30,,14,,,,,,,,,,,Sales,Stock on Hand,Cost of Goods Sold - Opening Stock,Y,,
Stock Item,09916,"Mikkeller, Hues (12x375ml) Oak Barrel Aged Sour/ Wild Ale",,,,,,Y,Y,Y,N,,,126.10,case(s),0.00,None,0.00,None,Y,0.00,Each,0.00,None,0.00,None,0,0,0,0,0,0,0,Each,1,1,,,0,,,N,Standard,0,0.00,0,0,Case(s),None,None,None,None,None,None,None,None,None,None,,,,,N,N,N,4,,,30,35,30,,14,,,,,,,,,,,Sales,Stock on Hand,Cost of Goods Sold - Opening Stock,Y,,
Stock Item,09917,"Mikkeller, Mad Beer SoD (6x750ml)",,,,,,Y,Y,Y,N,,,88.72,case(s),0.00,None,0.00,None,Y,0.00,Each,0.00,None,0.00,None,0,0,0,0,0,0,0,Each,1,1,,,0,,,N,Standard,0,0.00,0,0,Case(s),None,None,None,None,None,None,None,None,None,None,,,,,N,N,N,4,,,30,35,30,,14,,,,,,,,,,,Sales,Stock on Hand,Cost of Goods Sold - Opening Stock,Y,,
Stock Item,09918,"Mikkeller, Mad Beer Umami (6x750ml)",,,,,,Y,Y,Y,N,,,87.58,case(s),0.00,None,0.00,None,Y,0.00,Each,0.00,None,0.00,None,0,0,0,0,0,0,0,Each,1,1,,,0,,,N,Standard,0,0.00,0,0,Case(s),None,None,None,None,None,None,None,None,None,None,,,,,N,N,N,4,,,30,35,30,,14,,,,,,,,,,,Sales,Stock on Hand,Cost of Goods Sold - Opening Stock,Y,,
Stock Item,09919,"Mikkeller, Majsgoop (6x750ml) Barley Wine w/ Three Floyds",,,,,,Y,Y,Y,N,,,111.78,case(s),0.00,None,0.00,None,Y,0.00,Each,0.00,None,0.00,None,-1,0,-1,0,0,1,0,Each,1,1,,,0,,,N,Standard,0,0.00,0,0,Case(s),None,None,None,None,None,None,None,None,None,None,,,,,N,N,N,4,,,30,35,30,,14,,,,,,,,,,,Sales,Stock on Hand,Cost of Goods Sold - Opening Stock,Y,,
Stock Item,09920,"Mikkeller, Nossebajer (24x330ml) IPA",,,,,,Y,Y,Y,N,,,122.66,case(s),0.00,None,0.00,None,Y,0.00,Each,0.00,None,0.00,None,0,0,0,0,0,0,0,Each,1,1,,,0,,,N,Standard,0,0.00,0,0,Case(s),None,None,None,None,None,None,None,None,None,None,,,,,N,N,N,4,,,30,35,30,,14,,,,,,,,,,,Sales,Stock on Hand,Cost of Goods Sold - Opening Stock,Y,,
Stock Item,09921,"Mikkeller, Peter, Pale and Mary (24x330ml) Pale Ale",,,,,,Y,Y,Y,N,,,124.43,case(s),0.00,None,0.00,None,Y,0.00,Each,0.00,None,0.00,None,0,0,0,0,0,0,0,Each,1,1,,,0,,,N,Standard,0,0.00,0,0,Case(s),None,None,None,None,None,None,None,None,None,None,,,,,N,N,N,4,,,30,35,30,,14,,,,,,,,,,,Sales,Stock on Hand,Cost of Goods Sold - Opening Stock,Y,,
Stock Item,09922,"Mikkeller, Show Me Cuvee (6x750ml) Sour/Wild Ale",,,,,,Y,Y,Y,N,,,123.49,case(s),0.00,None,0.00,None,Y,0.00,Each,0.00,None,0.00,None,26,0,26,0,0,0,0,Each,1,1,,,0,,,N,Standard,0,0.00,0,0,Case(s),None,None,None,None,None,None,None,None,None,None,,,,,N,N,N,4,,,30,35,30,,14,,,,,,,,,,,Sales,Stock on Hand,Cost of Goods Sold - Opening Stock,Y,,
Stock Item,09923,"Mikkeller, Vesterbro Pils (24x330ml) Pilsner",,,,,,Y,Y,Y,N,,,129.27,case(s),0.00,None,0.00,None,Y,0.00,Each,0.00,None,0.00,None,16,0,16,0,0,0,0,Each,1,1,,,0,,,N,Standard,0,0.00,0,0,Case(s),None,None,None,None,None,None,None,None,None,None,,,,,N,N,N,4,,,30,35,30,,14,,,,,,,,,,,Sales,Stock on Hand,Cost of Goods Sold - Opening Stock,Y,,
Stock Item,09924,"Mikkeller, Cafe Viking 25 (24x330ml) IPA",,,,,,Y,Y,Y,N,,,153.23,case(s),0.00,None,0.00,None,Y,0.00,Each,0.00,None,0.00,None,0,0,0,0,0,0,0,Each,1,1,,,0,,,N,Standard,0,0.00,0,0,Case(s),None,None,None,None,None,None,None,None,None,None,,,,,N,N,N,4,,,30,35,30,,14,,,,,,,,,,,Sales,Stock on Hand,Cost of Goods Sold - Opening Stock,Y,,
Stock Item,09925,Mikkeller / Braunstein Spirits: Black Gift Box (1 x 500ml),,,,,,Y,Y,Y,N,,,245.70,Bottle(s),0.00,None,0.00,None,Y,0.00,Each,0.00,None,0.00,None,0,0,0,0,0,0,0,Each,1,1,,,0,,,N,Standard,0,0.00,0,0,Bottle(s),None,None,None,None,None,None,None,None,None,None,,,,,N,N,N,4,,,30,35,30,,14,,,,,,,,,,,Sales,Stock on Hand,Cost of Goods Sold - Opening Stock,Y,,
Stock Item,09926,Mikkeller Spirits: Gin (2x700ml),,,,,,Y,Y,Y,N,,,144.35,Bottle(s),0.00,None,0.00,None,Y,0.00,Each,0.00,None,0.00,None,0,0,0,0,0,0,0,Each,1,1,,,0,,,N,Standard,0,0.00,0,0,Bottle(s),None,None,None,None,None,None,None,None,None,None,,,,,N,N,N,4,,,30,35,30,,14,,,,,,,,,,,Sales,Stock on Hand,Cost of Goods Sold - Opening Stock,Y,,
Stock Item,09927,Mikkeller Spirits: Citra Dry Hopped Vodka (2x700ml),,,,,,Y,Y,Y,N,,,144.35,Bottle(s),0.00,None,0.00,None,Y,0.00,Each,0.00,None,0.00,None,11,1,10,0,0,0,0,Each,1,1,,,0,,,N,Standard,0,0.00,0,0,Bottle(s),None,None,None,None,None,None,None,None,None,None,,,,,N,N,N,4,,,30,35,30,,14,,,,,,,,,,,Sales,Stock on Hand,Cost of Goods Sold - Opening Stock,Y,,
Stock Item,09928,Mikkeller Spirits: Simcoe Dry Hopped Vodka (2x700ml),,,,,,Y,Y,Y,N,,,144.35,Bottle(s),0.00,None,0.00,None,Y,0.00,Each,0.00,None,0.00,None,8,1,7,0,0,0,0,Each,1,1,,,0,,,N,Standard,0,0.00,0,0,Bottle(s),None,None,None,None,None,None,None,None,None,None,,,,,N,N,N,4,,,30,35,30,,14,,,,,,,,,,,Sales,Stock on Hand,Cost of Goods Sold - Opening Stock,Y,,
Stock Item,09929,Mikkeller Spirits: White Dog (2x375ml),,,,,,Y,Y,Y,N,,,154.07,Bottle(s),0.00,None,0.00,None,Y,0.00,Each,0.00,None,0.00,None,3,0,3,0,0,0,0,Each,1,1,,,0,,,N,Standard,0,0.00,0,0,Bottle(s),None,None,None,None,None,None,None,None,None,None,,,,,N,N,N,4,,,30,35,30,,14,,,,,,,,,,,Sales,Stock on Hand,Cost of Goods Sold - Opening Stock,Y,,
Stock Item,09930,Mikkeller Spirits: Black Bourbon (2x375ml),,,,,,Y,Y,Y,N,,,181.49,Bottle(s),0.00,None,0.00,None,Y,0.00,Each,0.00,None,0.00,None,0,0,0,0,0,0,0,Each,1,1,,,0,,,N,Standard,0,0.00,0,0,Bottle(s),None,None,None,None,None,None,None,None,None,None,,,,,N,N,N,4,,,30,35,30,,14,,,,,,,,,,,Sales,Stock on Hand,Cost of Goods Sold - Opening Stock,Y,,
Stock Item,09931,Mikkeller Spirits: Black Oloroso (2x375ml),,,,,,Y,Y,Y,N,,,181.49,Bottle(s),0.00,None,0.00,None,Y,0.00,Each,0.00,None,0.00,None,-1,1,-2,0,0,2,0,Each,1,1,,,0,,,N,Standard,0,0.00,0,0,Bottle(s),None,None,None,None,None,None,None,None,None,None,,,,,N,N,N,4,,,30,35,30,,14,,,,,,,,,,,Sales,Stock on Hand,Cost of Goods Sold - Opening Stock,Y,,
Stock Item,09932,Mikkeller Spirits: Black Rum (2x375ml),,,,,,Y,Y,Y,N,,,181.49,Bottle(s),0.00,None,0.00,None,Y,0.00,Each,0.00,None,0.00,None,1,0,1,0,0,0,0,Each,1,1,,,0,,,N,Standard,0,0.00,0,0,Bottle(s),None,None,None,None,None,None,None,None,None,None,,,,,N,N,N,4,,,30,35,30,,14,,,,,,,,,,,Sales,Stock on Hand,Cost of Goods Sold - Opening Stock,Y,,
Stock Item,23512,"Mikkeller, KEG Koppi Coffee IPA 30l",,,,,,Y,Y,Y,N,,,410.04,Keg(s),0.00,None,0.00,None,Y,215.00,Keg(s),0.00,None,0.00,None,0,0,0,214.9942,0,0,0,Each,1,1,,,0,,,N,Standard,0,0.00,0,0,Keg(s),None,None,None,None,None,None,None,None,None,None,,,,,N,N,N,4,,Cm,52,42,42,Kg,30,,,,,,,,,,,Sales,Stock on Hand,Cost of Goods Sold - Opening Stock,Y,,
